数据组,实验序号,配置ID,精度模式,Batch,算子实现,图优化策略,通过准入且指标完整,未评分原因,可行配置数,评分排名,TOPSIS得分,与本组最高分差值,最小余弦,余弦阈值,权重样本Exp,有效初始L9数量,权重来源,评分范围,用途,原始数据来源,来源CSV_SHA256,数据一致性提示,FPS,FPS_CRITIC权重,FPS_权重样本最小值,FPS_权重样本最大值,FPS_评分最小值,FPS_评分最大值,FPS_同向归一化,平均批延迟_ms,平均批延迟_ms_CRITIC权重,平均批延迟_ms_权重样本最小值,平均批延迟_ms_权重样本最大值,平均批延迟_ms_评分最小值,平均批延迟_ms_评分最大值,平均批延迟_ms_同向归一化,P95批延迟_ms,P95批延迟_ms_CRITIC权重,P95批延迟_ms_权重样本最小值,P95批延迟_ms_权重样本最大值,P95批延迟_ms_评分最小值,P95批延迟_ms_评分最大值,P95批延迟_ms_同向归一化,P99批延迟_ms,P99批延迟_ms_CRITIC权重,P99批延迟_ms_权重样本最小值,P99批延迟_ms_权重样本最大值,P99批延迟_ms_评分最小值,P99批延迟_ms_评分最大值,P99批延迟_ms_同向归一化
81组实验数据2,67,A3-B2-C2-D1,force_fp16,4,high_performance,standard_l2,是,,81,1,0.9037938991749719,0.0,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,830.975932,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.8997650361931699,4.813617153,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9101232867484844,4.281734091,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9249255098074488,4.94617073,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.9123270002280975
81组实验数据2,64,A3-B2-C1-D1,force_fp16,4,high_precision,standard_l2,是,,81,2,0.9026670674555919,0.0011268317193799948,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,832.6157626,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.9032515467867134,4.80413677,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9103739436763274,4.944873286,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9075174218098057,5.96949019,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.8863016746058245
81组实验数据2,72,A3-B2-C3-D3,force_fp16,4,high_performance_for_all,l2_single_stream,是,,81,3,0.9016762852656708,0.002117613909301097,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,830.4699581,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.898689264486991,4.816549908,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9100457460670144,4.85044568,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9099962438837366,5.009329591,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.9107207277123214
81组实验数据2,68,A3-B2-C2-D2,force_fp16,4,high_performance,l2_with_tiling,是,,81,4,0.9013959517583002,0.002397947416671653,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,830.1509885,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.8980110902356885,4.818400575,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9099968152902008,4.845057962,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9101376770394868,4.898462624,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.9135403251398234
81组实验数据2,69,A3-B2-C2-D3,force_fp16,4,high_performance,l2_single_stream,是,,81,5,0.9003903947767106,0.0034035043982613145,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,829.5572558,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.896748730972309,4.821849212,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.909905634928008,4.855629673,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9098601587194097,4.910159222,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.913242854229202
81组实验数据2,70,A3-B2-C3-D1,force_fp16,4,high_performance_for_all,standard_l2,是,,81,6,0.8993189224985977,0.004474976676374198,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,828.9481926,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.8954537769087993,4.825392028,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9098119645167522,4.88001776,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9092199462756403,4.926842531,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.9128185599925009
81组实验数据2,71,A3-B2-C3-D2,force_fp16,4,high_performance_for_all,l2_with_tiling,是,,81,7,0.8905124259815554,0.013281473193416438,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,823.7577181,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.884418097778427,4.855796689,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9090080793869668,4.978854267,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9066253860020078,4.9967497,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.9110406627593571
81组实验数据2,65,A3-B2-C1-D2,force_fp16,4,high_precision,l2_with_tiling,是,,81,8,0.82880301155406,0.07499088762091188,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,791.0426481,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.8148612556732057,5.056617377,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.903698473572369,5.017227425,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9056180510167616,8.597432031,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.8194671768738839
81组实验数据2,66,A3-B2-C1-D3,force_fp16,4,high_precision,l2_single_stream,是,,81,9,0.8223195689400166,0.08147433023495532,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,786.2507657,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,0.8046730394326906,5.087435427,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.9028836586292265,5.110734725,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.9031633879247662,7.849555694,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.8384873616318458
81组实验数据2,81,A3-B3-C3-D3,force_fp16,16,high_performance_for_all,l2_single_stream,是,,81,10,0.7971795800803284,0.10661431909464347,0.999999,0.999,"1,14,27,33,43,47,62,66,76",9,本CSV可行初始L9；极差归一化、样本标准差、Pearson相关,本CSV全部可行配置；FPS越高越好，延迟越低越好,按当前CSV汇总值回溯评分；未计算搜索预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据2_实验数据.csv,f8bd4d2c19b7bd27501066ec8508e7677fc706f890baaba3589050ff70de19be,FPS与平均批延迟符合公式；新1000次逐次记录待补，旧序列未用于评分,878.1200196,0.4878201661869865,415.6881989,868.1747815,407.7842624,878.1200196,1.0,18.22074391,0.17199566398269484,1.416600665,38.49038785,1.414286954,39.23643327,0.5556450758879774,18.55003105,0.17182469694486022,1.436255545,39.03986387,1.421865908,39.51560688,0.5503679947162528,18.58287167,0.16835947288545858,1.498856061,39.23941178,1.498856061,40.81899656,0.5655148890061956
