数据组,实验序号,配置ID,A水平,B水平,C水平,D水平,精度模式,Batch,算子实现,图优化策略,Buffer优化,Tiling优化,单流,输入形状,编译成功,记录检查,FPS,平均批延迟_ms,P95批延迟_ms,P99批延迟_ms,平均余弦,最小余弦,实际测量Batch,计时次数字段,验证样本数,随机种子,验证错误,其他错误,ATC命令,数据来源,逐样本数值验证记录
81组实验数据3,1,A1-B1-C1-D1,1,1,1,1,force_fp32,1,high_precision,standard_l2,l2_optimize,0,否,"input:1,3,224,224",是,记录满足检查,476.1721785,2.100080696,2.148750019,2.201125397,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp1 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,2,A1-B1-C1-D2,1,1,1,2,force_fp32,1,high_precision,l2_with_tiling,l2_optimize,1,否,"input:1,3,224,224",是,记录满足检查,478.5229088,2.089764109,2.135899149,2.195637099,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp2 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,3,A1-B1-C1-D3,1,1,1,3,force_fp32,1,high_precision,l2_single_stream,l2_optimize,0,是,"input:1,3,224,224",是,记录满足检查,477.3402998,2.094941492,2.125248666,2.21295586,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp3 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,4,A1-B1-C2-D1,1,1,2,1,force_fp32,1,high_performance,standard_l2,l2_optimize,0,否,"input:1,3,224,224",是,记录满足检查,477.9323859,2.092346176,2.130117652,2.19650435,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp4 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,5,A1-B1-C2-D2,1,1,2,2,force_fp32,1,high_performance,l2_with_tiling,l2_optimize,1,否,"input:1,3,224,224",是,记录满足检查,476.5991266,2.098199397,2.122683407,2.198777494,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp5 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,6,A1-B1-C2-D3,1,1,2,3,force_fp32,1,high_performance,l2_single_stream,l2_optimize,0,是,"input:1,3,224,224",是,记录满足检查,476.2646756,2.099672832,2.14867462,2.2022499,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp6 --precision_mode=force_fp32 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,7,A1-B1-C3-D1,1,1,3,1,force_fp32,1,high_performance_for_all,standard_l2,l2_optimize,0,否,"input:1,3,224,224",是,记录满足检查,464.1140199,2.154642948,2.207039644,3.472667179,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp7 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,8,A1-B1-C3-D2,1,1,3,2,force_fp32,1,high_performance_for_all,l2_with_tiling,l2_optimize,1,否,"input:1,3,224,224",是,记录满足检查,476.2036156,2.099942057,2.12182003,2.20596101,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp8 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,9,A1-B1-C3-D3,1,1,3,3,force_fp32,1,high_performance_for_all,l2_single_stream,l2_optimize,0,是,"input:1,3,224,224",是,记录满足检查,475.9063425,2.101253778,2.139721924,2.193325587,1,1,1,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp9 --precision_mode=force_fp32 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":1.0},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
81组实验数据3,10,A1-B2-C1-D1,1,2,1,1,force_fp32,4,high_precision,standard_l2,l2_optimize,0,否,"input:4,3,224,224",是,记录满足检查,455.9415387,8.773054571,8.80579998,12.03598044,1,0.999999,4,1000,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp10 --precision_mode=force_fp32 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据3\results.json,"[{""sample_id"":0,""cosine_similarity"":1.0},{""sample_id"":1,""cosine_similarity"":1.0},{""sample_id"":2,""cosine_similarity"":1.0},{""sample_id"":3,""cosine_similarity"":0.999999},{""sample_id"":4,""cosine_similarity"":1.0},{""sample_id"":5,""cosine_similarity"":1.0},{""sample_id"":6,""cosine_similarity"":1.0},{""sample_id"":7,""cosine_similarity"":1.0},{""sample_id"":8,""cosine_similarity"":1.0},{""sample_id"":9,""cosine_similarity"":1.0}]"
