数据组,实验序号,配置ID,精度模式,Batch,算子实现,图优化策略,通过准入且指标完整,未评分原因,可行配置数,评分排名,TOPSIS得分,与本组最高分差值,最小余弦,余弦阈值,权重样本Exp,有效初始L9数量,权重来源,评分范围,用途,原始数据来源,FPS,FPS_CRITIC权重,FPS_权重样本最小值,FPS_权重样本最大值,FPS_评分最小值,FPS_评分最大值,FPS_同向归一化,平均批延迟_ms,平均批延迟_ms_CRITIC权重,平均批延迟_ms_权重样本最小值,平均批延迟_ms_权重样本最大值,平均批延迟_ms_评分最小值,平均批延迟_ms_评分最大值,平均批延迟_ms_同向归一化,P95批延迟_ms,P95批延迟_ms_CRITIC权重,P95批延迟_ms_权重样本最小值,P95批延迟_ms_权重样本最大值,P95批延迟_ms_评分最小值,P95批延迟_ms_评分最大值,P95批延迟_ms_同向归一化,P99批延迟_ms,P99批延迟_ms_CRITIC权重,P99批延迟_ms_权重样本最小值,P99批延迟_ms_权重样本最大值,P99批延迟_ms_评分最小值,P99批延迟_ms_评分最大值,P99批延迟_ms_同向归一化
tf,66,A3-B2-C1-D3,force_fp16,4,high_precision,l2_single_stream,是,',71,1,0.9653659775720494,0.0,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,326.205099,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,1.0,12.262224,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9304072370129294,12.40545,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9299309814735268,12.61758,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9293536906529913
tf,70,A3-B2-C3-D1,force_fp16,4,high_performance_for_all,standard_l2,是,',71,2,0.9649999946568499,0.0003659829151995142,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,325.310657,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9956347047458842,12.295939,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9301450335003387,12.4686,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9294426592566445,12.57017,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9297177352693043
tf,65,A3-B2-C1-D2,force_fp16,4,high_precision,l2_with_tiling,是,',71,3,0.9648816064561502,0.0004843711158992736,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,325.186517,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9950288434906592,12.300633,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9301085279897914,12.49,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9292771787270913,12.58098,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9296347291038889
tf,69,A3-B2-C2-D3,force_fp16,4,high_performance,l2_single_stream,是,',71,4,0.9631972800164033,0.002168697555646193,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,323.604828,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9873094614790958,12.360755,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9296409557049337,12.5311,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9289593633175289,12.59748,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.929508031441599
tf,71,A3-B2-C3-D2,force_fp16,4,high_performance_for_all,l2_with_tiling,是,',71,5,0.9630739965243627,0.0022919810476867974,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,324.789396,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9930907072933323,12.315673,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9299915610365254,12.5072,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9291441756846467,13.73922,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9207410139299088
tf,67,A3-B2-C2-D1,force_fp16,4,high_performance,standard_l2,是,',71,6,0.9621112030532468,0.003254774518802628,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,323.626743,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9874164169278492,12.359918,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9296474651025324,12.5408,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9288843557877782,13.48952,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9226583718858963
tf,64,A3-B2-C1-D1,force_fp16,4,high_precision,standard_l2,是,',71,7,0.9615833695111159,0.0037826080609335566,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,325.184904,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9950209712963249,12.300694,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9301080535892496,12.56375,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.928706889518935,14.97923,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9112194158562048
tf,68,A3-B2-C2-D2,force_fp16,4,high_performance,l2_with_tiling,是,',71,8,0.9575119785074518,0.007853999064597605,0.999983,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,322.007757,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.9795150081139972,12.422061,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9291641753833295,12.6235,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9282448586011405,14.97104,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9112823039685778
tf,58,A3-B1-C2-D1,force_fp16,1,high_performance,standard_l2,是,',71,9,0.8985032841561096,0.06686269341593987,0.99997,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,301.772461,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.8807573004097246,3.313755,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,1.0,3.3441,0.16705859670824078,3.447,132.6377,3.3441,132.66445,1.0,3.41722,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,1.0
tf,61,A3-B1-C3-D1,force_fp16,1,high_performance_for_all,standard_l2,是,',71,10,0.8972181502104624,0.06814782736158709,0.99997,0.999,"1,14,27,33,43,47,62,66",8,仅本组初始L9中可行配置；指标极差归一化；样本标准差与Pearson相关,本组全部可行配置；FPS越高越好，延迟越低越好,全空间回溯评分；不是预算搜索轨迹，未计算命中预算,C:\Users\25726\Desktop\论文\应用科学\实验数据\tf\results.json,301.460516,0.4980562780748958,121.368128,326.205099,121.306702,326.205099,0.8792348629257454,3.317184,0.16710615613276572,3.474592,131.830327,3.313755,131.897082,0.9999733324679023,3.35935,0.16705859670824078,3.447,132.6377,3.3441,132.66445,0.9998820757908559,3.55045,0.16777896908409778,6.37706,133.45657,3.41722,133.64851,0.9989769739668555
